SID,SEASON,NAME,ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES,STORM_SPEED,STORM_DIR,DIST2LAND,previous_wind,wind_change,year,month,day,hour,intensifies
1932244N19296,1932,UNNAMED,1932-08-30 18:00:00+00:00,18.8,-63.6,30.0,995.0,9.0,305.0,215,35.0,0.0,1932,8,30,18,0
1932244N19296,1932,UNNAMED,1932-08-31 00:00:00+00:00,19.3,-64.4,30.0,995.0,9.0,305.0,161,30.0,0.0,1932,8,31,0,1
1932244N19296,1932,UNNAMED,1932-08-31 06:00:00+00:00,19.8,-65.2,35.0,995.0,9.0,300.0,162,30.0,5.0,1932,8,31,6,1
1932244N19296,1932,UNNAMED,1932-08-31 12:00:00+00:00,20.2,-66.0,40.0,995.0,7.0,295.0,201,35.0,5.0,1932,8,31,12,1
1932244N19296,1932,UNNAMED,1932-08-31 18:00:00+00:00,20.4,-66.6,45.0,995.0,5.0,290.0,223,40.0,5.0,1932,8,31,18,1
1932244N19296,1932,UNNAMED,1932-09-01 00:00:00+00:00,20.6,-67.1,50.0,995.0,5.0,285.0,246,45.0,5.0,1932,9,1,0,0
1932244N19296,1932,UNNAMED,1932-09-01 06:00:00+00:00,20.7,-67.6,50.0,995.0,5.0,290.0,236,50.0,0.0,1932,9,1,6,0
1932244N19296,1932,UNNAMED,1932-09-01 12:00:00+00:00,20.9,-68.0,50.0,995.0,4.0,305.0,224,50.0,0.0,1932,9,1,12,0
1932244N19296,1932,UNNAMED,1932-09-01 18:00:00+00:00,21.1,-68.3,50.0,995.0,3.0,305.0,226,50.0,0.0,1932,9,1,18,1
1932244N19296,1932,UNNAMED,1932-09-02 00:00:00+00:00,21.3,-68.6,55.0,995.0,3.0,305.0,235,50.0,5.0,1932,9,2,0,0
1932244N19296,1932,UNNAMED,1932-09-02 06:00:00+00:00,21.5,-68.9,55.0,995.0,3.0,305.0,241,55.0,0.0,1932,9,2,6,1
1932244N19296,1932,UNNAMED,1932-09-02 12:00:00+00:00,21.7,-69.2,60.0,995.0,4.0,300.0,249,55.0,5.0,1932,9,2,12,1
1932244N19296,1932,UNNAMED,1932-09-02 18:00:00+00:00,21.9,-69.7,65.0,995.0,5.0,285.0,252,60.0,5.0,1932,9,2,18,1
1932244N19296,1932,UNNAMED,1932-09-03 00:00:00+00:00,22.0,-70.3,70.0,995.0,6.0,285.0,247,65.0,5.0,1932,9,3,0,1
1932244N19296,1932,UNNAMED,1932-09-03 06:00:00+00:00,22.2,-71.0,80.0,995.0,6.0,290.0,234,70.0,10.0,1932,9,3,6,1
1932244N19296,1932,UNNAMED,1932-09-03 12:00:00+00:00,22.4,-71.5,85.0,995.0,5.0,300.0,204,80.0,5.0,1932,9,3,12,1
1932244N19296,1932,UNNAMED,1932-09-03 18:00:00+00:00,22.7,-71.9,95.0,995.0,4.0,315.0,202,85.0,10.0,1932,9,3,18,1
