latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
28.128,96.994,301.4,1.7,1.3,2020-01-01,0355,Terra,MODIS,40,6.0NRT,278.8,15.3,D
33.183,74.077,301.5,1.5,1.2,2020-01-01,0530,Terra,MODIS,48,6.0NRT,280.6,12.3,D
25.267,75.696,305.9,1,1,2020-01-01,0535,Terra,MODIS,57,6.0NRT,289.3,6.2,D
30.153,80.239,301.9,1.1,1,2020-01-01,0535,Terra,MODIS,41,6.0NRT,274.5,7.3,D
25.266,75.706,315.3,1,1,2020-01-01,0535,Terra,MODIS,76,6.0NRT,289.3,13.4,D
19.897,83.246,305.4,2.4,1.5,2020-01-01,0535,Terra,MODIS,51,6.0NRT,291.7,16.3,D
19.831,75.22,315.3,1,1,2020-01-01,0535,Terra,MODIS,67,6.0NRT,299.2,7.3,D
19.83,75.229,316.8,1,1,2020-01-01,0535,Terra,MODIS,69,6.0NRT,298.9,8.8,D
19.664,74.976,320.5,1,1,2020-01-01,0535,Terra,MODIS,64,6.0NRT,300.7,13,D
15.178,76.655,315.6,1.1,1,2020-01-01,0535,Terra,MODIS,44,6.0NRT,300.4,6.5,D
28.986,79.616,304.1,1.1,1,2020-01-01,0535,Terra,MODIS,58,6.0NRT,288.8,6.4,D
15.782,74.995,317,1,1,2020-01-01,0535,Terra,MODIS,64,6.0NRT,302.9,7.2,D
30.007,80.624,300.6,1.1,1.1,2020-01-01,0535,Terra,MODIS,38,6.0NRT,278.7,9.1,D
19.662,74.985,319.8,1,1,2020-01-01,0535,Terra,MODIS,69,6.0NRT,300.1,12.6,D
19.397,75.917,317.7,1,1,2020-01-01,0535,Terra,MODIS,67,6.0NRT,296.4,10.3,D
19.522,74.873,311.8,1,1,2020-01-01,0535,Terra,MODIS,54,6.0NRT,299.1,5.3,D
18.684,80.112,313.3,1.5,1.2,2020-01-01,0535,Terra,MODIS,50,6.0NRT,300.3,13.3,D
18.691,73.037,312.2,1.2,1.1,2020-01-01,0535,Terra,MODIS,0,6.0NRT,300.4,7.7,D
18.35,74.631,320.6,1,1,2020-01-01,0535,Terra,MODIS,64,6.0NRT,301.2,11.3,D
17.66,77.555,313.5,1.1,1.1,2020-01-01,0535,Terra,MODIS,65,6.0NRT,298,7.1,D
17.965,75.19,322.2,1,1,2020-01-01,0535,Terra,MODIS,75,6.0NRT,299.5,13.5,D
17.956,75.189,323.3,1,1,2020-01-01,0535,Terra,MODIS,76,6.0NRT,298.6,14.8,D
17.486,73.321,312.3,1.1,1,2020-01-01,0535,Terra,MODIS,49,6.0NRT,299.9,6.1,D
16.583,74.626,313.9,1,1,2020-01-01,0535,Terra,MODIS,58,6.0NRT,302.1,5.3,D
16.539,74.737,315.3,1,1,2020-01-01,0535,Terra,MODIS,61,6.0NRT,301.8,6.1,D
16.211,76.01,315.4,1,1,2020-01-01,0535,Terra,MODIS,58,6.0NRT,300.5,5.6,D
16.311,75.225,319.4,1,1,2020-01-01,0535,Terra,MODIS,69,6.0NRT,300.2,9.7,D
16.162,75.784,317.2,1,1,2020-01-01,0535,Terra,MODIS,64,6.0NRT,300.9,8.2,D
15.897,76.781,313,1.1,1,2020-01-01,0535,Terra,MODIS,47,6.0NRT,297.1,7.4,D
15.95,75.786,318.9,1,1,2020-01-01,0535,Terra,MODIS,66,6.0NRT,297.6,9.4,D
9.736,76.959,314.1,1.3,1.1,2020-01-01,0540,Terra,MODIS,66,6.0NRT,293.8,12.9,D
13.993,75.304,312,1,1,2020-01-01,0540,Terra,MODIS,52,6.0NRT,298.1,6.2,D
23.18,87.726,311.8,1.8,1.3,2020-01-01,0705,Aqua,MODIS,68,6.0NRT,294.1,16.8,D
20.959,85.165,308.3,3,1.7,2020-01-01,0705,Aqua,MODIS,60,6.0NRT,294.8,25.5,D
22.336,87.368,307,1.9,1.4,2020-01-01,0705,Aqua,MODIS,58,6.0NRT,294.1,10.8,D
22.482,87.029,309.5,2,1.4,2020-01-01,0705,Aqua,MODIS,65,6.0NRT,295,16.2,D
28.132,96.998,303.3,1.5,1.2,2020-01-01,0705,Aqua,MODIS,48,6.0NRT,280.4,13.8,D
28.13,96.977,314.7,1.5,1.2,2020-01-01,0705,Aqua,MODIS,75,6.0NRT,280.4,29.5,D
28.537,94.285,301,1.1,1.1,2020-01-01,0705,Aqua,MODIS,44,6.0NRT,288.6,7.2,D
28.879,95.852,317.2,1.3,1.1,2020-01-01,0705,Aqua,MODIS,58,6.0NRT,286.3,24.9,D
28.875,95.847,326,1.3,1.1,2020-01-01,0705,Aqua,MODIS,69,6.0NRT,285.9,36.5,D
16.458,75.741,319.2,1.8,1.3,2020-01-01,0840,Aqua,MODIS,68,6.0NRT,302.2,19.2,D
16.465,75.734,319,1.8,1.3,2020-01-01,0840,Aqua,MODIS,54,6.0NRT,302.1,15.7,D
18.289,79.924,313.3,4.1,1.9,2020-01-01,0845,Aqua,MODIS,59,6.0NRT,294.9,54.6,D
18.293,79.919,311.6,4.1,1.9,2020-01-01,0845,Aqua,MODIS,52,6.0NRT,294.6,44.1,D
17.637,73.451,322.2,1.3,1.1,2020-01-01,0845,Aqua,MODIS,72,6.0NRT,306.2,17.9,D
